TIME,PSF_FLUX,APER_FLUX,BKG_FLUX,QUALITY
2137.7934711993885,2800.376,2751.7048,108.788086,0
2137.800415451212,2804.301,2754.7617,108.72177,0
2137.807359703501,2798.1729,2753.019,108.791794,0
2137.8143039553242,2812.9077,2760.2847,108.86134,0
2137.8212482071467,2808.5012,2759.4243,108.78691,0
2137.828192458971,2787.945,2743.7922,108.7653,0
2137.8351367107953,2808.344,2753.5884,108.73121,0
2137.8420809626177,2798.0137,2750.1926,108.79903,0
2137.8490252139754,2794.719,2753.303,108.75125,0
2137.855969465799,2804.7473,2753.873,108.71082,0
2137.8629137171574,2801.698,2751.4395,108.647354,0
2137.869857968515,2796.9321,2754.558,108.77476,0
2137.8768022198738,2801.3977,2756.2842,108.716324,0
2137.8837464712306,2815.125,2766.1895,108.77045,0
2137.8906907221217,2805.2654,2755.874,108.77528,0
2137.8976349734803,2803.7756,2753.3599,108.63314,0
2137.9045792243733,2815.5083,2759.7886,108.80001,0
2137.9115234752653,2796.0552,2744.4133,108.72506,0
2137.9184677261565,2802.842,2751.66,108.758156,0
2137.9254119770494,2791.487,2745.036,108.72616,0
2137.9323562274767,2808.8215,2751.8252,108.78283,0
2137.9393004783688,2798.6624,2743.9976,108.729546,0
2137.946244728794,2802.2283,2761.4321,108.71888,0
2137.9531889792206,2808.2,2750.0796,108.72113,0
2137.960133229648,2817.89,2759.8335,108.76394,0
2137.9670774800743,2794.2305,2753.7893,108.74414,0
2137.9740217305007,2795.2725,2753.3572,108.714294,0
2137.9809659804614,2811.568,2759.589,108.69838,0
2137.987910230888,2807.1504,2755.0461,108.708374,0
2137.9948544808485,2809.8833,2752.96,108.765854,0
2138.00179873081,2803.0957,2750.7173,108.74459,0
2138.0087429807704,2796.105,2747.0986,108.7595,0
2138.0156872307307,2786.2463,2740.1028,108.710915,0
2138.0226314802258,2798.3645,2750.0598,108.711624,0
2138.0295757301874,2809.2139,2756.2925,108.80668,0
2138.0365199796825,2816.6216,2759.6448,108.710625,0
2138.0434642291775,2806.0696,2753.3135,108.71211,0
2138.0504084786726,2810.2266,2754.169,108.757645,0
2138.0573527281667,2801.9092,2754.0505,108.731186,0
2138.0642969776627,2802.0408,2752.0593,108.68743,0
2138.0712412266935,2789.1096,2741.8142,108.75682,0
2138.078185476188,2807.634,2759.6792,108.635704,0
2138.0851297252166,2802.805,2756.2715,108.6044,0
2138.092073974247,2802.895,2751.165,108.702095,0
2138.099018223277,2798.654,2744.6755,108.70472,0
2138.10596247184,2801.394,2755.164,108.62285,0
2138.1129067208694,2802.192,2747.5771,108.65786,0
2138.119850969434,2800.1277,2745.1863,108.62047,0
2138.126795218463,2812.4507,2759.4146,108.69645,0
2138.133739467027,2803.5283,2757.5896,108.653656,0
2138.1406837155914,2803.0154,2748.8877,108.722336,0
2138.1476279641547,2814.0015,2747.5676,108.711586,0
2138.154572212253,2809.4766,2759.0283,108.76115,0
2138.1615164608165,2801.7478,2751.3625,108.633064,0
2138.1684607089155,2803.9277,2762.4106,108.6277,0
2138.1754049570127,2813.0232,2763.802,108.57454,0
2138.1823492051117,2803.5774,2757.2559,108.56881,0
2138.1892934532098,2794.7043,2747.089,108.6015,0
2138.196237701308,2814.559,2758.8518,108.597015,0
2138.2031819489403,2810.4243,2753.01,108.63923,0
2138.2101261970392,2810.1777,2752.556,108.72143,0
2138.2170704446708,2802.4,2754.6775,108.58039,0
2138.224014692303,2788.4897,2745.5713,108.59711,0
2138.2309589399356,2799.8477,2750.6125,108.65041,0
2138.23790318757,2799.808,2748.983,108.68629,0
2138.2448474347348,2791.7808,2746.4998,108.71275,0
2138.251791682367,2805.16,2752.2068,108.69361,0
2138.2587359295358,2789.2942,2744.9192,108.60544,0
2138.2656801767016,2816.5325,2762.3718,108.723724,0
2138.2726244238693,2804.486,2753.0295,108.66814,0
2138.279568671036,2808.3123,2749.7886,108.63701,0
2138.286512918203,2800.1921,2742.7158,108.65326,0
2138.2934571653686,2798.3584,2745.9006,108.80379,0
2138.3004014120706,2812.4897,2751.0398,108.68808,0
2138.3073456587717,2818.1558,2756.5627,108.756454,0
2138.314289905473,2805.2974,2745.129,108.66602,0
2138.321234152174,2809.1455,2752.04,108.715744,0
2138.328178398876,2805.505,2756.1516,108.702515,0
2138.335122645577,2814.7156,2749.7686,108.68341,0
2138.3420668918125,2809.3965,2748.1436,108.7032,0
2138.3490111385136,2812.0496,2751.8901,108.71688,0
2138.3559553847485,2802.3162,2751.4075,108.75055,0
2138.3628996309853,2827.1877,2753.2192,108.67122,0
2138.369843877221,2797.1812,2741.5417,108.68709,0
2138.3767881229896,2816.7063,2758.736,108.670815,0
2138.383732369225,2804.5083,2747.967,108.64647,0
2138.3906766149958,2812.4937,2749.6106,108.71649,0
2138.397620861232,2812.291,2753.6553,108.77797,0
2138.404565107001,2808.3965,2753.5083,108.670616,0
2138.4115093527716,2817.1094,2758.5474,108.680115,0
2138.418453598541,2812.0034,2754.2844,108.67326,0
2138.4253978438446,2822.192,2756.7612,108.725136,0
2138.4323420896153,2803.2734,2747.1838,108.79225,0
2138.4392863349203,2803.8403,2747.8997,108.85774,0
2138.4462305802235,2805.2397,2751.984,108.76326,0
2138.4531748255276,2798.0935,2748.7783,108.76052,0
2138.4601190708327,2802.1685,2758.0522,108.70967,0
2138.467063316137,2800.251,2750.8828,108.72381,0
2138.4740075614404,2793.2158,2750.6765,108.74747,0
2138.4809518062784,2799.488,2751.7395,108.793564,0
2138.487896051118,2808.141,2756.9783,108.641975,0
2138.494840296422,2807.5952,2751.5635,108.83915,0
2138.5017845412613,2810.5076,2749.9211,108.7119,0
2138.5087287856336,2810.5374,2757.1306,108.7559,0
2138.5156730304716,2811.2026,2751.112,108.68737,0
2138.5226172753105,2791.0798,2741.477,108.79268,0
2138.5295615196837,2810.8574,2763.0337,108.78872,0
2138.5365057640565,2795.7559,2747.5276,108.75801,0
2138.543450008896,2810.9922,2754.7769,108.73028,0
2138.5503942528026,2806.8723,2745.349,108.76039,0
2138.557338497176,2792.493,2745.0059,108.7183,0
2138.5642827415486,2808.296,2742.4675,108.62898,0
2138.5712269854557,2816.0237,2755.6118,108.63275,0
2138.5781712298285,2805.3376,2742.0034,108.74826,0
2138.5851154737347,2807.2986,2749.0122,108.81193,0
2138.5920597176428,2817.9,2753.517,108.73746,0
2138.599003961551,2805.4575,2742.61,108.678375,0
2138.6059482054575,2807.5796,2755.0195,108.75737,0
2138.6128924488994,2798.3557,2746.81,108.80458,0
2138.6198366928056,2802.6453,2751.7856,108.76994,0
2138.626780936247,2810.7434,2756.0132,108.79425,0
2138.6337251796904,2793.8323,2738.292,108.76192,0
2138.640669423132,2813.4705,2747.7893,108.741684,0
2138.6476136665724,2800.6853,2747.4966,108.81201,0
2138.654557910015,2804.2375,2745.2878,108.689095,0
2138.6615021529906,2827.986,2755.1204,108.76716,0
2138.6684463964325,2804.433,2747.5068,108.63925,0
2138.6753906394088,2810.917,2755.4631,108.80181,0
2138.6823348823837,2799.137,2741.8455,108.76597,0
2138.6892791253595,2814.958,2749.6655,108.64302,0
2138.696223368336,2803.2866,2746.635,108.72705,0
2138.7031676113124,2798.6326,2745.6392,108.70502,0
2138.710111853822,2805.207,2743.948,108.72269,0
2138.7170560967975,2811.0808,2752.187,108.75895,0
2138.724000339308,2799.2756,2747.582,108.66432,0
2138.730944581819,2811.8625,2748.5293,108.68651,0
2138.7378888243293,2809.1423,2752.1785,108.66256,0
2138.7448330668394,2798.0796,2740.1191,108.74785,0
2138.7517773088834,2787.199,2742.5278,108.67617,0
2138.758721551393,2808.1504,2750.2896,108.65594,0
2138.7656657934394,2810.3967,2756.9714,108.74425,0
2138.7726100359496,2813.3499,2751.0198,108.75389,0
2138.779554277993,2802.816,2748.6602,108.707535,0
2138.786498519573,2813.7832,2752.364,108.70263,0
2138.7934427616174,2812.006,2748.947,108.68685,0
2138.8003870036628,2807.336,2746.6843,108.70997,0
2138.8073312452407,2804.2722,2752.2947,108.67754,0
2138.814275487285,2804.203,2750.1567,108.77581,0
2138.821219728864,2808.632,2743.2605,108.70255,0
2138.8281639704437,2808.2932,2750.745,108.666214,0
2138.835108212023,2803.8308,2736.1206,108.629395,0
2138.8420524536014,2807.6558,2745.0667,108.72178,0
2138.8489966947145,2814.1562,2751.1353,108.67045,0
2138.8559409362933,2807.8132,2743.2559,108.74333,0
2138.8628851774065,2813.6912,2751.111,108.70588,0
2138.8698294185197,2811.0718,2749.3877,108.69472,0
2138.8767736596337,2813.275,2748.0942,108.6579,0
2138.8837179007464,2803.406,2752.9824,108.66208,0
2138.890662141859,2799.0952,2741.9243,108.72465,0
2138.8976063825085,2802.125,2749.654,108.6928,0
2138.9045506236216,2808.1794,2745.431,108.57768,0
2138.911494864268,2806.002,2738.4922,108.6596,0
2138.9184391049157,2803.0237,2744.922,108.63445,0
2138.925383345564,2812.4875,2751.1895,108.68397,0
2138.9323275862116,2812.8616,2748.87,108.767914,0
2138.939271826859,2810.4585,2743.4187,108.73277,0
2138.9462160670414,2816.207,2752.7295,108.804306,0
2138.9531603076884,2811.5984,2747.5771,108.68589,0
2138.960104547871,2814.554,2744.8235,108.65071,0
2138.9670487880535,2805.1223,2744.84,108.65329,0
2138.973993028235,2825.1165,2757.859,108.6867,0
2138.9809372684167,2807.8992,2748.2446,108.648285,0
2138.987881508599,2805.0933,2743.002,108.693146,0
2138.9948257483156,2800.9102,2742.0203,108.68124,0
2139.0017699884975,2817.5625,2750.8782,108.6548,0
2139.0087142282136,2811.8225,2748.0562,108.72422,0
2139.01565846793,2795.9246,2740.291,108.77181,0
2139.022602707646,2804.384,2738.3718,108.649605,0
2139.029546947362,2808.3723,2748.9604,108.63086,0
2139.0364911870793,2808.4753,2753.102,108.73078,0
2139.0434354263307,2805.6025,2749.3228,108.71695,0
2139.0503796660464,2799.2205,2742.5603,108.61703,0
2139.0573239052965,2810.9995,2746.7112,108.61849,0
2139.064268144549,2809.7153,2751.4136,108.7308,0
2139.0712123837984,2813.652,2746.8416,108.71194,0
2139.0781566230485,2797.7478,2739.2144,108.71389,0
2139.0851008622994,2816.3364,2752.7256,108.625626,0
2139.092045101085,2811.8203,2752.0596,108.68927,0
2139.0989893403357,2815.5618,2753.5732,108.641205,0
2139.1059335791197,2812.6528,2753.2896,108.763794,0
2139.1128778179045,2814.4211,2740.517,108.703316,0
2139.1198220566903,2802.713,2743.0288,108.75638,0
2139.126766295474,2817.1213,2749.2588,108.71895,0
2139.133710534261,2800.1228,2733.2107,108.67021,0
2139.1406547730458,2813.8564,2753.5137,108.7089,0
2139.147599011364,2805.1807,2743.831,108.761894,0
2139.1545432496832,2802.4343,2747.6138,108.766685,0
2139.161487488468,2795.4255,2741.0764,108.69777,0
2139.168431726788,2818.258,2754.5654,108.61118,0
2139.1753759646417,2806.3442,2747.5947,108.74399,0
2139.182320202962,2807.9844,2742.5142,108.65862,0
2139.18926444128,2800.5562,2741.0159,108.689606,0
2139.1962086791336,2810.1873,2752.0166,108.755486,0
2139.2031529174537,2811.1802,2734.529,108.71668,0
2139.2100971553073,2815.0366,2752.1265,108.622314,0
2139.217041393161,2801.252,2747.0088,108.65649,0
2139.2239856310152,2806.5784,2744.6611,108.71265,0
2139.2309298688688,2814.7495,2752.9065,108.782425,0
2139.2378741062566,2792.8215,2739.0996,108.71355,0
